Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_AutorizacionReferencia,,,,2021-07-15 16:34:17,2021-07-15 16:34:22,5.431s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/getConsultaReferenciaAut,,,,2021-07-15 16:34:17,2021-07-15 16:34:19,2.451s,PASSED
operation = 21021254,,,,2021-07-15 16:34:17,2021-07-15 16:34:17,0.001s,PASSED
valor = 0,,,,2021-07-15 16:34:17,2021-07-15 16:34:17,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/getConsultaReferenciaAut""))",,,,2021-07-15 16:34:17,2021-07-15 16:34:18,0.915s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-07-15 16:34:18,2021-07-15 16:34:18,0.015s,PASSED
"verifyElementPropertyValue(response, ""bResultado"", true)",,,,2021-07-15 16:34:18,2021-07-15 16:34:18,0.053s,PASSED
"verifyElementPropertyValue(response, ""dFechaEmision"", ""2021-07-09T00:00:00"")",,,,2021-07-15 16:34:18,2021-07-15 16:34:18,0.018s,PASSED
"verifyElementPropertyValue(response, ""dFechaVigencia"", ""2021-07-09T00:00:00"")",,,,2021-07-15 16:34:18,2021-07-15 16:34:18,0.021s,PASSED
"verifyElementPropertyValue(response, ""iError"", 0)",,,,2021-07-15 16:34:18,2021-07-15 16:34:18,0.023s,PASSED
"for ([i = operation, i <= getElementPropertyValue(response, ""iNoOperacionModificacion""), (i++)])",,,,2021-07-15 16:34:18,2021-07-15 16:34:19,0.902s,PASSED
"verifyElementPropertyValue(response, ""iNoOperacionModificacion"", valor)",,,,2021-07-15 16:34:19,2021-07-15 16:34:19,0.015s,PASSED
"verifyElementPropertyValue(response, ""mTotalReferencia"", 1659.0000)",,,,2021-07-15 16:34:19,2021-07-15 16:34:19,0.015s,PASSED
"verifyElementPropertyValue(response, ""tiBandera"", 2)",,,,2021-07-15 16:34:19,2021-07-15 16:34:19,0.017s,PASSED
"verifyElementPropertyValue(response, ""tiEstatusAutorizacion"", 1)",,,,2021-07-15 16:34:19,2021-07-15 16:34:19,0.015s,PASSED
"verifyElementPropertyValue(response, ""tiEstatusReferencia"", 1)",,,,2021-07-15 16:34:19,2021-07-15 16:34:19,0.015s,PASSED
"verifyElementPropertyValue(response, ""vchDescEstatusRef"", ""EMITIDO"")",,,,2021-07-15 16:34:19,2021-07-15 16:34:19,0.015s,PASSED
"verifyElementPropertyValue(response, ""vchDescEtatusAut"", ""AUTORIZADA"")",,,,2021-07-15 16:34:19,2021-07-15 16:34:19,0.013s,PASSED
"verifyElementPropertyValue(response, ""vchMensaje"", ""Los datos se consultaron exitosamente"")",,,,2021-07-15 16:34:19,2021-07-15 16:34:19,0.013s,PASSED
"verifyElementPropertyValue(response, ""vchMensajeLog"", """")",,,,2021-07-15 16:34:19,2021-07-15 16:34:19,0.015s,PASSED
"verifyElementPropertyValue(response, ""vchNombre"", ""SANTOS CAZARIN CRUZ DAVID ESTUARDO"")",,,,2021-07-15 16:34:19,2021-07-15 16:34:19,0.018s,PASSED
"verifyElementPropertyValue(response, ""vchReferencia"", ""11125120071631703225"")",,,,2021-07-15 16:34:19,2021-07-15 16:34:19,0.015s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/getConsultaReferencia,,,,2021-07-15 16:34:19,2021-07-15 16:34:22,2.766s,PASSED
operation = 21021208,,,,2021-07-15 16:34:20,2021-07-15 16:34:20,0.000s,PASSED
valor = 0,,,,2021-07-15 16:34:20,2021-07-15 16:34:20,0.001s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/getConsultaReferencia""))",,,,2021-07-15 16:34:20,2021-07-15 16:34:20,0.175s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-07-15 16:34:20,2021-07-15 16:34:20,0.002s,PASSED
"verifyElementPropertyValue(response, ""[0].bResultado"", true)",,,,2021-07-15 16:34:20,2021-07-15 16:34:20,0.017s,PASSED
"verifyElementPropertyValue(response, ""[0].vchMensaje"", ""Consulta de referencia correcta"")",,,,2021-07-15 16:34:20,2021-07-15 16:34:20,0.012s,PASSED
"for ([i = operation, i <= getElementPropertyValue(response, ""[0].iNoOperacionModificacion""), (i++)])",,,,2021-07-15 16:34:20,2021-07-15 16:34:21,1.470s,PASSED
"verifyElementPropertyValue(response, ""[0].iNoOperacionModificacion"", valor)",,,,2021-07-15 16:34:21,2021-07-15 16:34:21,0.012s,PASSED
