Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_DesautorizacionReferencia_SU,,,,2021-07-16 13:31:11,2021-07-16 13:31:26,14.513s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia_SU/setDesautorizacionReferencia_SU,,,,2021-07-16 13:31:11,2021-07-16 13:31:20,9.066s,PASSED
operation = 21012130,,,,2021-07-16 13:31:12,2021-07-16 13:31:12,0.001s,PASSED
valor = 0,,,,2021-07-16 13:31:12,2021-07-16 13:31:12,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia_SU/setDesautorizacionReferencia_SU""))",,,,2021-07-16 13:31:12,2021-07-16 13:31:20,8.373s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-16 13:31:20,2021-07-16 13:31:20,0.346s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia_SU/getConsultaReferenciaAut_SU,,,,2021-07-16 13:31:20,2021-07-16 13:31:24,3.746s,PASSED
operation = 21021254,,,,2021-07-16 13:31:21,2021-07-16 13:31:21,0.000s,PASSED
valor = 0,,,,2021-07-16 13:31:21,2021-07-16 13:31:21,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia_SU/getConsultaReferenciaAut_SU""))",,,,2021-07-16 13:31:21,2021-07-16 13:31:21,0.484s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-07-16 13:31:21,2021-07-16 13:31:21,0.005s,PASSED
"if (getElementPropertyValue(response, ""bResultado"") == true)",,,,2021-07-16 13:31:21,2021-07-16 13:31:24,3.024s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia_SU/getConsultaReferencia_SU,,,,2021-07-16 13:31:24,2021-07-16 13:31:26,1.482s,PASSED
operation = 21021208,,,,2021-07-16 13:31:24,2021-07-16 13:31:24,0.000s,PASSED
valor = 0,,,,2021-07-16 13:31:24,2021-07-16 13:31:24,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia_SU/getConsultaReferencia_SU""))",,,,2021-07-16 13:31:24,2021-07-16 13:31:25,0.255s,PASSED
fecha = new java.util.Date(),,,,2021-07-16 13:31:25,2021-07-16 13:31:25,0.007s,PASSED
"hoy = fecha.format(""yyyy-MM-dd"") + ""T00:00:00""",,,,2021-07-16 13:31:25,2021-07-16 13:31:25,0.000s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-16 13:31:25,2021-07-16 13:31:26,0.936s,PASSED
